 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;2021;2022;2023;2024;2025;TTM;;2025;2026;2027;2028;2029;2030;2031;;;;;;;;;;;;;;;;;
Revenues;138,87;170,84;192,47;199,05;211,07;211,07;;211,07;227,9556;246,192048;265,8874118;287,1584048;310,1310772;334,9415633;;;;;;;;;;;;;;;;;
Gross Profit;33,77;43,48;46,89;50,05;57,07;57,07;;57,07;61,548012;66,47185296;71,7896012;77,53276929;83,73539084;90,4342221;;;;;;;;;;;;;;;;;
OPEX;17,31;22,95;24,35;24,66;28,86;28,73;;28,86;30,0144;31,214976;32,46357504;33,76211804;35,11260276;36,51710687;;;;;;;;;;;;;;;;;
Operating Profit;16,46;20,54;22,54;25,38;28,21;28,34;;28,21;31,533612;35,25687696;39,32602616;43,77065125;48,62278807;53,91711523;;;;;;;;;;;;;;;;;
Interest;0;0;0;0;0;0;;0;0,45;0;0,45;1,473475584;2,601695647;3,874528484;;;;;;;;;;;;;;;;;
Pretax;16,46;20,54;22,54;25,38;28,21;28,34;;28,21;31,983612;35,25687696;39,77602616;45,24412683;51,22448372;57,79164371;;;;;;;;;;;;;;;;;
Tax;3,53;5,62;5,2;6,79;10,89;11,01;;10,89;6,3967224;7,051375392;7,955205231;9,048825367;10,24489674;11,55832874;;;;;;;;;;;;;;;;;
Net Income;12,93;14,91;17,34;18,6;17,32;17,32;;17,32;25,5868896;28,20550157;31,82082093;36,19530147;40,97958698;46,23331497;45,30864867;44,4024757;43,51442618;42,64413766;41,79125491;40,95542981;40,13632121;39,33359479;38,54692289;37,77598443;37,02046475;36,28005545;35,55445434;34,84336525;34,14649795;33,46356799;32,79429663
EPS;0,53;0,61;0,71;0,76;0,71;0,71;;0,71;;;;;;;;;;;;;;;;;;;;;;;
Shares;24,38;24,38;24,38;24,38;24,38;25,2;;24,38;;;;;;;;;;;;;;;;;;;;;;;
Price;5,47;5,91;6;8,56;8,98;8,98;;8,98;;;;;;;;;;;;;;;;;;;;;;;
EV;117,31;191,44;183,62;159,11;211,19;239;;211,19;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;NPV;356,97 €;;;;;;;;;;;;;;
Gross Margin;24%;25%;24%;25%;27%;27%;;;;;;;;;;Per Share;14,16563932;;;;;;;;;;;;;;
Operating Margin;12%;12%;12%;13%;13%;13%;;;;;;;;;;Ratio;159%;;;;;;;;;;;;;;
Tax Rate;21%;27%;23%;27%;39%;39%;;;;;;;;;;;;;;;;;;;;;;;;;
NI growth ; ;115%;116%;107%;93%;100%;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caixa;24,68;11,08;13,77;18,9;19,64;11,25;;11,25;36,8368896;65,04239117;96,86321209;133,0585136;174,0381005;220,2714155;;;;;;;;;;;;;;;;;
Assets;170,87;209,61;214,89;208,59;206,21;148,44;;;;;;;;;;;;;;;;;;;;;;;;;
Debt;16,2;51,85;42,36;27,81;18,71;23,94;;;;;;;;;;;;;;;;;;;;;;;;;
Liabilities;56,29;106,22;98,26;81,19;71,89;59,74;;;;;;;;;;;;;;;;;;;;;;;;;
S/E;114,52;102,83;116,05;126,53;133,57;88,55;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DA;5,87;7,26;8,88;9,23;9,32;9,32;;;;;;;;;;;;;;;;;;;;;;;;;
CFFO;21,2;19,21;15,99;37,21;25,4;25,4;;;;;;;;;;;;;;;;;;;;;;;;;
CapeX;4,4;5,08;4,96;3,79;2,26;2,26;;;;;;;;;;;;;;;;;;;;;;;;;
CFFI;-4,42;-30,61;-0,49;-3,94;-2,5;-2,5;;;;;;;;;;;;;;;;;;;;;;;;;
CFFF;-13,34;-2,1;-12,88;-28,11;-22,12;-22,12;;;;;;;;;;;;;;;;;;;;;;;;;
uFCF;16,8;14,13;11,03;33,43;23,14;23,14;"
";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
